cell_barcode;orig.ident;nCount_RNA;nFeature_RNA;subproject;library_id;index;donor_id.x;fastq_path_r1;fastq_path_r2;symbolic_link_r1;symbolic_link_r2;zUMI_barcode;plate;original_barcode;well;sample_id;donor_id.y;tissue;time_point;sample_description;sampling_time;sample_description_FN;Exclude_FN
ABIQCQOC;SeuratProject;291797;1225;CLL_52;AF9971;N720-S508-NX-xt;63;/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N720-S508-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N720-S508-NX-xt_2.fastq.gz;CLL_05-76_S335_L007_R1_001.fastq.gz;CLL_05-76_S335_L007_R2_001.fastq.gz;ABIQCQOC;P2465;P2465_N720-S508;CLL_05_76_F04;05/76;63;LN;T1;NA;NA;pretreatmnt_2ndTissue;NA
ABOEIVKH;SeuratProject;415462;2726;CLL_52;AF9699;N706-S520-NX-xt;63;/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N706-S520-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N706-S520-NX-xt_2.fastq.gz;CLL_05-76_S98_L006_R1_001.fastq.gz;CLL_05-76_S98_L006_R2_001.fastq.gz;ABOEIVKH;P2462;P2462_N706-S520;CLL_05_76_F06;05/76;63;LN;T1;NA;NA;pretreatmnt_2ndTissue;NA
ACZKUGRM;SeuratProject;393526;1145;CLL_52;AG0613;N722-S506-NX-xt;63;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N722-S506-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N722-S506-NX-xt_2.fastq.gz;CLL_05-76_S156_L001_R1_001.fastq.gz;CLL_05-76_S156_L001_R2_001.fastq.gz;ACZKUGRM;P2469;P2469_N722-S506;CLL_05_76_D06;05/76;63;LN;T1;NA;NA;pretreatmnt_2ndTissue;NA
ADDGGZUC;SeuratProject;385149;914;CLL_52;AF9474;N702-S507-NX-xt;63;/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N702-S507-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N702-S507-NX-xt_2.fastq.gz;CLL_05-599_S317_L006_R1_001.fastq.gz;CLL_05-599_S317_L006_R2_001.fastq.gz;ADDGGZUC;P2460;P2460_N702-S507;CLL_05_599_E02;05/599;63;PB;T1;NA;NA;pretreatment;NA
ADEEHOJS;SeuratProject;564228;933;CLL_52;AG0693;N704-S517-NX-xt;63;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N704-S517-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N704-S517-NX-xt_2.fastq.gz;CLL_05-76_S71_L001_R1_001.fastq.gz;CLL_05-76_S71_L001_R2_001.fastq.gz;ADEEHOJS;P2470;P2470_N704-S517;CLL_05_76_D04;05/76;63;LN;T1;NA;NA;pretreatmnt_2ndTissue;NA
ADWEWOST;SeuratProject;497997;1185;CLL_52;AG0605;N721-S506-NX-xt;63;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N721-S506-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N721-S506-NX-xt_2.fastq.gz;CLL_05-76_S327_L001_R1_001.fastq.gz;CLL_05-76_S327_L001_R2_001.fastq.gz;ADWEWOST;P2469;P2469_N721-S506;CLL_05_76_D05;05/76;63;LN;T1;NA;NA;pretreatmnt_2ndTissue;NA
ADWEYGKH;SeuratProject;280593;940;CLL_52;AG0084;N706-S521-NX-xt;63;/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N706-S521-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N706-S521-NX-xt_2.fastq.gz;CLL_05-76_S227_L007_R1_001.fastq.gz;CLL_05-76_S227_L007_R2_001.fastq.gz;ADWEYGKH;P2466;P2466_N706-S521;CLL_05_76_G06;05/76;63;LN;T1;NA;NA;pretreatmnt_2ndTissue;NA
AERQJETK;SeuratProject;224910;1398;CLL_52;AG0489;N702-S511-NX-xt;63;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N702-S511-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N702-S511-NX-xt_2.fastq.gz;CLL_05-599_S55_L001_R1_001.fastq.gz;CLL_05-599_S55_L001_R2_001.fastq.gz;AERQJETK;P2468;P2468_N702-S511;CLL_05_599_H02;05/599;63;PB;T1;NA;NA;pretreatment;NA
AEVDGSCM;SeuratProject;411029;1372;CLL_52;AF9805;N723-S522-NX-xt;63;/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N723-S522-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N723-S522-NX-xt_2.fastq.gz;CLL_10-7434_S358_L006_R1_001.fastq.gz;CLL_10-7434_S358_L006_R2_001.fastq.gz;AEVDGSCM;P2463;P2463_N723-S522;CLL_10_7434_H07;10/7434;63;PB;T2;NA;NA;posttreatment;NA
AEVHWXOT;SeuratProject;1816;55;CLL_52;AG0577;N716-S511-NX-xt;63;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N716-S511-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N716-S511-NX-xt_2.fastq.gz;empty_S277_L001_R1_001.fastq.gz;empty_S277_L001_R2_001.fastq.gz;AEVHWXOT;P2469;P2469_N716-S511;empty_H01;empty;NA;NA;NA;NA;NA;NA;NA
AFZHKICQ;SeuratProject;735655;2230;CLL_52;AG0854;N729-S518-NX-xt;63;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N729-S518-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N729-S518-NX-xt_2.fastq.gz;CLL_14-2116_S127_L001_R1_001.fastq.gz;CLL_14-2116_S127_L001_R2_001.fastq.gz;AFZHKICQ;P2471;P2471_N729-S518;CLL_14_2116_E12;14/2116;63;LN;T3;NA;NA;RS;NA
AHBRUXGL;SeuratProject;356756;3164;CLL_52;AG0029;N728-S511-NX-xt;63;/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N728-S511-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N728-S511-NX-xt_2.fastq.gz;CLL_14-2116_S228_L007_R1_001.fastq.gz;CLL_14-2116_S228_L007_R2_001.fastq.gz;AHBRUXGL;P2465;P2465_N728-S511;CLL_14_2116_H11;14/2116;63;LN;T3;NA;NA;RS;NA
AHRSAKFD;SeuratProject;495553;913;CLL_52;AG0544;N711-S510-NX-xt;63;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N711-S510-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N711-S510-NX-xt_2.fastq.gz;CLL_10-7434_S14_L001_R1_001.fastq.gz;CLL_10-7434_S14_L001_R2_001.fastq.gz;AHRSAKFD;P2468;P2468_N711-S510;CLL_10_7434_G09;10/7434;63;PB;T2;NA;NA;posttreatment;NA
